,vmPFC_OFC,ACC,Amygdala,Insula,Hippocampus,dlPFC,Parahippocampal,PCC,Angular
vmPFC_OFC,0.0,0.22410309354443847,0.2047774322306197,0.27399156402276226,0.151954992237901,0.4441831966446689,0.21331032489396856,0.08679118512855662,0.127838983779597
ACC,0.22410309354443858,0.0,0.17423873540021265,0.4103392704992648,0.14135926668958654,0.22486160491478926,0.1971214598459333,0.603274472123507,0.13306517480500785
Amygdala,0.20477743223061973,0.17423873540021265,0.0,0.16521783770065374,0.22834104249246878,0.13907414582421776,0.3217385853465064,0.25564295286373717,0.2709772003571517
Insula,0.2739915640227622,0.4103392704992648,0.16521783770065376,0.0,0.24169108545073928,0.37561176024323717,0.1908165154716716,0.176714921683696,0.20622945762348133
Hippocampus,0.15195499223790102,0.1413592666895864,0.22834104249246867,0.24169108545073925,0.0,0.15774875141192396,0.7179686008354048,0.5254960557616115,0.12538627334989644
dlPFC,0.44418319664466865,0.2248616049147893,0.13907414582421773,0.3756117602432373,0.15774875141192407,0.0,0.1533075908397677,0.28315646548771295,0.21746434505825304
Parahippocampal,0.21331032489396867,0.1971214598459332,0.3217385853465066,0.19081651547167156,0.7179686008354049,0.15330759083976772,0.0,0.13939617820318917,0.10047567518565216
PCC,0.08679118512855666,0.6032744721235073,0.2556429528637373,0.17671492168369612,0.5254960557616113,0.28315646548771306,0.13939617820318925,0.0,0.30314655022150094
Angular,0.12783898377959702,0.13306517480500774,0.2709772003571516,0.20622945762348133,0.12538627334989644,0.21746434505825304,0.10047567518565212,0.30314655022150117,0.0
